Date,"Rinorrea"
2018-07-16,31
2018-07-17,21
2018-07-18,34
2018-07-19,27
2018-07-20,35
2018-07-21,38
2018-07-22,29
2018-07-23,36
2018-07-24,23
2018-07-25,18
2018-07-26,27
2018-07-27,21
2018-07-28,16
2018-07-29,22
2018-07-30,33
2018-07-31,30
2018-08-01,28
2018-08-02,24
2018-08-03,39
2018-08-04,40
2018-08-05,28
2018-08-06,35
2018-08-07,34
2018-08-08,26
2018-08-09,35
2018-08-10,23
2018-08-11,20
2018-08-12,29
2018-08-13,31
2018-08-14,30
2018-08-15,24
2018-08-16,23
2018-08-17,18
2018-08-18,39
2018-08-19,33
2018-08-20,47
2018-08-21,38
2018-08-22,44
2018-08-23,48
2018-08-24,47
2018-08-25,38
2018-08-26,21
2018-08-27,40
2018-08-28,51
2018-08-29,49
2018-08-30,36
2018-08-31,34
2018-09-01,31
2018-09-02,41
2018-09-03,36
2018-09-04,32
2018-09-05,31
2018-09-06,35
2018-09-07,33
2018-09-08,42
2018-09-09,33
2018-09-10,53
2018-09-11,34
2018-09-12,38
2018-09-13,30
2018-09-14,40
2018-09-15,32
2018-09-16,34
2018-09-17,25
2018-09-18,34
2018-09-19,47
2018-09-20,39
2018-09-21,39
2018-09-22,35
2018-09-23,44
2018-09-24,34
2018-09-25,39
2018-09-26,41
2018-09-27,44
2018-09-28,43
2018-09-29,44
2018-09-30,45
2018-10-01,43
2018-10-02,72
2018-10-03,48
2018-10-04,54
2018-10-05,59
2018-10-06,57
2018-10-07,45
2018-10-08,94
2018-10-09,47
2018-10-10,50
2018-10-11,56
2018-10-12,45
2018-10-13,55
2018-10-14,54
2018-10-15,68
2018-10-16,60
2018-10-17,54
2018-10-18,63
2018-10-19,54
2018-10-20,34
2018-10-21,41
2018-10-22,43
2018-10-23,65
2018-10-24,60
2018-10-25,65
2018-10-26,51
2018-10-27,66
2018-10-28,42
2018-10-29,41
2018-10-30,39
2018-10-31,36
2018-11-01,67
2018-11-02,66
2018-11-03,44
2018-11-04,60
2018-11-05,64
2018-11-06,69
2018-11-07,80
2018-11-08,66
2018-11-09,49
2018-11-10,46
2018-11-11,51
2018-11-12,46
2018-11-13,62
2018-11-14,83
2018-11-15,46
2018-11-16,68
2018-11-17,76
2018-11-18,77
2018-11-19,63
2018-11-20,78
2018-11-21,76
2018-11-22,66
2018-11-23,40
2018-11-24,28
2018-11-25,31
2018-11-26,31
2018-11-27,41
2018-11-28,46
2018-11-29,40
2018-11-30,36
2018-12-01,31
2018-12-02,41
2018-12-03,48
2018-12-04,46
2018-12-05,44
2018-12-06,33
2018-12-07,44
2018-12-08,58
2018-12-09,54
