Date,"Pagina principale"
2018-05-22,600038
2018-05-23,622925
2018-05-24,620659
2018-05-25,572246
2018-05-26,527423
2018-05-27,531233
2018-05-28,602062
2018-05-29,625051
2018-05-30,620067
2018-05-31,623955
2018-06-01,606123
2018-06-02,532906
2018-06-03,559419
2018-06-04,635584
2018-06-05,637529
2018-06-06,621115
2018-06-07,624996
2018-06-08,625915
2018-06-09,576647
2018-06-10,557086
2018-06-11,644939
2018-06-12,645882
2018-06-13,643092
2018-06-14,645795
2018-06-15,628075
2018-06-16,558738
2018-06-17,550503
2018-06-18,649526
2018-06-19,672825
2018-06-20,653252
2018-06-21,647918
2018-06-22,645381
2018-06-23,625158
2018-06-24,600456
2018-06-25,663108
2018-06-26,652169
2018-06-27,669879
2018-06-28,659692
2018-06-29,614400
2018-06-30,582140
2018-07-01,563605
2018-07-02,673926
2018-07-03,1284231
2018-07-04,1008271
2018-07-05,863772
2018-07-06,660821
2018-07-07,585064
2018-07-08,555844
2018-07-09,630544
2018-07-10,643677
2018-07-11,636273
2018-07-12,593411
2018-07-13,573794
2018-07-14,500276
2018-07-15,490163
2018-07-16,578679
2018-07-17,554463
2018-07-18,545235
2018-07-19,553631
2018-07-20,543686
2018-07-21,512765
2018-07-22,505822
2018-07-23,585551
2018-07-24,553704
2018-07-25,563726
2018-07-26,574239
2018-07-27,542696
2018-07-28,466954
2018-07-29,452263
2018-07-30,518784
2018-07-31,527540
2018-08-01,525214
2018-08-02,530041
2018-08-03,522633
2018-08-04,461507
2018-08-05,444243
2018-08-06,503830
2018-08-07,521805
2018-08-08,514023
2018-08-09,503223
2018-08-10,470699
2018-08-11,447462
2018-08-12,442831
2018-08-13,464499
2018-08-14,479708
2018-08-15,419946
2018-08-16,451418
2018-08-17,443218
2018-08-18,419559
2018-08-19,412325
2018-08-20,467064
2018-08-21,498880
2018-08-22,488414
2018-08-23,501102
2018-08-24,504073
2018-08-25,473539
2018-08-26,462206
2018-08-27,497533
2018-08-28,519542
2018-08-29,512923
2018-08-30,522253
2018-08-31,538556
2018-09-01,478432
2018-09-02,474898
2018-09-03,530020
2018-09-04,531780
2018-09-05,559004
2018-09-06,551147
2018-09-07,540490
2018-09-08,473801
2018-09-09,472005
2018-09-10,550682
2018-09-11,567825
2018-09-12,627921
2018-09-13,584904
2018-09-14,554428
2018-09-15,496859
2018-09-16,505968
2018-09-17,558599
2018-09-18,545751
2018-09-19,568580
2018-09-20,576982
2018-09-21,583942
2018-09-22,509885
2018-09-23,490684
2018-09-24,565485
2018-09-25,555158
2018-09-26,549299
2018-09-27,539909
2018-09-28,576503
2018-09-29,450543
2018-09-30,466302
2018-10-01,529447
2018-10-02,529454
2018-10-03,543901
2018-10-04,521274
2018-10-05,501289
2018-10-06,447998
2018-10-07,445367
2018-10-08,514130
2018-10-09,531691
2018-10-10,547857
2018-10-11,495961
2018-10-12,486918
2018-10-13,463656
2018-10-14,507476
2018-10-15,589745
2018-10-16,574884
2018-10-17,561421
2018-10-18,604531
2018-10-19,612578
2018-10-20,504710
2018-10-21,494835
2018-10-22,557089
2018-10-23,561776
2018-10-24,602615
2018-10-25,551789
2018-10-26,577697
2018-10-27,530707
2018-10-28,570064
2018-10-29,584359
2018-10-30,559659
2018-10-31,550770
2018-11-01,499525
2018-11-02,520606
2018-11-03,494459
2018-11-04,488536
2018-11-05,555947
2018-11-06,580284
2018-11-07,565003
2018-11-08,527538
2018-11-09,527964
2018-11-10,486790
2018-11-11,478387
2018-11-12,527901
2018-11-13,567756
2018-11-14,573289
2018-11-15,548556
2018-11-16,571122
2018-11-17,510614
2018-11-18,493847
2018-11-19,539604
2018-11-20,563495
2018-11-21,576389
2018-11-22,511081
2018-11-23,523452
2018-11-24,484655
2018-11-25,481248
2018-11-26,573801
2018-11-27,567278
2018-11-28,559265
2018-11-29,562100
2018-11-30,545830
2018-12-01,496046
2018-12-02,484777
2018-12-03,536738
2018-12-04,531849
2018-12-05,511057
2018-12-06,680109
2018-12-07,859806
2018-12-08,462753
2018-12-09,
