Date,"Asma"
2017-09-19,261
2017-09-20,297
2017-09-21,262
2017-09-22,295
2017-09-23,230
2017-09-24,332
2017-09-25,353
2017-09-26,285
2017-09-27,332
2017-09-28,269
2017-09-29,263
2017-09-30,230
2017-10-01,231
2017-10-02,441
2017-10-03,327
2017-10-04,260
2017-10-05,282
2017-10-06,251
2017-10-07,230
2017-10-08,252
2017-10-09,295
2017-10-10,298
2017-10-11,226
2017-10-12,292
2017-10-13,267
2017-10-14,253
2017-10-15,221
2017-10-16,255
2017-10-17,288
2017-10-18,309
2017-10-19,297
2017-10-20,267
2017-10-21,231
2017-10-22,225
2017-10-23,329
2017-10-24,316
2017-10-25,476
2017-10-26,306
2017-10-27,252
2017-10-28,214
2017-10-29,211
2017-10-30,273
2017-10-31,240
2017-11-01,240
2017-11-02,264
2017-11-03,248
2017-11-04,228
2017-11-05,232
2017-11-06,297
2017-11-07,281
2017-11-08,280
2017-11-09,247
2017-11-10,261
2017-11-11,223
2017-11-12,211
2017-11-13,299
2017-11-14,262
2017-11-15,300
2017-11-16,273
2017-11-17,296
2017-11-18,218
2017-11-19,240
2017-11-20,274
2017-11-21,292
2017-11-22,228
2017-11-23,224
2017-11-24,234
2017-11-25,198
2017-11-26,220
2017-11-27,325
2017-11-28,276
2017-11-29,266
2017-11-30,264
2017-12-01,285
2017-12-02,233
2017-12-03,242
2017-12-04,269
2017-12-05,261
2017-12-06,222
2017-12-07,192
2017-12-08,220
2017-12-09,164
2017-12-10,265
2017-12-11,295
2017-12-12,268
2017-12-13,526
2017-12-14,382
2017-12-15,261
2017-12-16,202
2017-12-17,235
2017-12-18,265
2017-12-19,234
2017-12-20,219
2017-12-21,212
2017-12-22,180
2017-12-23,175
2017-12-24,122
2017-12-25,159
2017-12-26,214
2017-12-27,225
2017-12-28,242
2017-12-29,227
2017-12-30,205
2017-12-31,150
2018-01-01,198
2018-01-02,241
2018-01-03,280
2018-01-04,291
2018-01-05,251
2018-01-06,257
2018-01-07,347
2018-01-08,325
2018-01-09,360
2018-01-10,327
2018-01-11,319
2018-01-12,321
2018-01-13,227
2018-01-14,243
2018-01-15,356
2018-01-16,333
2018-01-17,296
2018-01-18,334
2018-01-19,280
2018-01-20,270
2018-01-21,255
2018-01-22,322
2018-01-23,301
2018-01-24,296
2018-01-25,302
2018-01-26,253
2018-01-27,243
2018-01-28,248
2018-01-29,295
2018-01-30,310
2018-01-31,328
2018-02-01,261
2018-02-02,283
2018-02-03,217
2018-02-04,248
2018-02-05,339
2018-02-06,332
2018-02-07,342
2018-02-08,310
2018-02-09,258
2018-02-10,233
2018-02-11,279
2018-02-12,301
2018-02-13,282
2018-02-14,344
2018-02-15,327
2018-02-16,296
2018-02-17,255
2018-02-18,283
2018-02-19,335
2018-02-20,303
2018-02-21,303
2018-02-22,288
2018-02-23,287
2018-02-24,230
2018-02-25,239
2018-02-26,316
2018-02-27,271
2018-02-28,252
2018-03-01,238
2018-03-02,235
2018-03-03,189
2018-03-04,170
2018-03-05,246
2018-03-06,250
2018-03-07,291
2018-03-08,243
2018-03-09,255
2018-03-10,227
2018-03-11,287
2018-03-12,336
2018-03-13,315
2018-03-14,310
2018-03-15,273
2018-03-16,255
2018-03-17,212
2018-03-18,213
2018-03-19,277
2018-03-20,270
2018-03-21,270
2018-03-22,265
2018-03-23,255
2018-03-24,211
2018-03-25,252
2018-03-26,295
2018-03-27,284
2018-03-28,241
2018-03-29,236
2018-03-30,228
2018-03-31,199
2018-04-01,148
2018-04-02,183
2018-04-03,267
2018-04-04,277
2018-04-05,272
2018-04-06,285
2018-04-07,194
2018-04-08,224
2018-04-09,326
2018-04-10,303
2018-04-11,296
2018-04-12,304
2018-04-13,277
2018-04-14,260
2018-04-15,315
2018-04-16,336
2018-04-17,312
2018-04-18,345
2018-04-19,341
2018-04-20,288
2018-04-21,276
2018-04-22,295
2018-04-23,354
2018-04-24,333
2018-04-25,289
2018-04-26,363
2018-04-27,361
2018-04-28,267
2018-04-29,325
2018-04-30,324
2018-05-01,356
2018-05-02,389
2018-05-03,349
2018-05-04,347
2018-05-05,281
2018-05-06,287
2018-05-07,381
2018-05-08,344
2018-05-09,323
2018-05-10,346
2018-05-11,333
2018-05-12,243
2018-05-13,250
2018-05-14,335
2018-05-15,330
2018-05-16,317
2018-05-17,318
2018-05-18,291
2018-05-19,220
2018-05-20,281
2018-05-21,314
2018-05-22,347
2018-05-23,293
2018-05-24,313
2018-05-25,308
2018-05-26,233
2018-05-27,272
2018-05-28,320
2018-05-29,301
2018-05-30,304
2018-05-31,293
2018-06-01,259
2018-06-02,232
2018-06-03,254
2018-06-04,316
2018-06-05,264
2018-06-06,276
2018-06-07,282
2018-06-08,238
2018-06-09,214
2018-06-10,263
2018-06-11,240
2018-06-12,285
2018-06-13,260
2018-06-14,317
2018-06-15,225
2018-06-16,233
2018-06-17,223
2018-06-18,306
2018-06-19,337
2018-06-20,321
2018-06-21,294
2018-06-22,314
2018-06-23,239
2018-06-24,283
2018-06-25,296
2018-06-26,359
2018-06-27,298
2018-06-28,273
2018-06-29,279
2018-06-30,231
2018-07-01,254
2018-07-02,367
2018-07-03,249
2018-07-04,166
2018-07-05,160
2018-07-06,189
2018-07-07,153
2018-07-08,76
2018-07-09,151
2018-07-10,244
2018-07-11,252
2018-07-12,222
2018-07-13,238
2018-07-14,214
2018-07-15,230
2018-07-16,271
2018-07-17,259
2018-07-18,277
2018-07-19,259
2018-07-20,185
2018-07-21,192
2018-07-22,205
2018-07-23,216
2018-07-24,223
2018-07-25,249
2018-07-26,213
2018-07-27,114
2018-07-28,149
2018-07-29,142
2018-07-30,130
2018-07-31,152
2018-08-01,195
2018-08-02,182
2018-08-03,170
2018-08-04,188
2018-08-05,120
2018-08-06,167
2018-08-07,139
2018-08-08,132
2018-08-09,162
2018-08-10,157
2018-08-11,155
2018-08-12,133
2018-08-13,174
2018-08-14,160
2018-08-15,194
2018-08-16,212
2018-08-17,208
2018-08-18,167
2018-08-19,260
2018-08-20,203
2018-08-21,212
2018-08-22,228
2018-08-23,234
2018-08-24,238
2018-08-25,200
2018-08-26,227
2018-08-27,283
2018-08-28,308
2018-08-29,250
2018-08-30,323
2018-08-31,306
2018-09-01,327
2018-09-02,250
2018-09-03,349
2018-09-04,364
2018-09-05,248
2018-09-06,287
2018-09-07,210
2018-09-08,262
2018-09-09,253
2018-09-10,323
2018-09-11,321
2018-09-12,301
2018-09-13,272
2018-09-14,299
2018-09-15,279
2018-09-16,265
2018-09-17,333
2018-09-18,293
2018-09-19,255
2018-09-20,297
2018-09-21,281
2018-09-22,221
2018-09-23,288
2018-09-24,295
2018-09-25,271
2018-09-26,283
2018-09-27,245
2018-09-28,252
2018-09-29,245
2018-09-30,257
2018-10-01,305
2018-10-02,274
2018-10-03,293
2018-10-04,309
2018-10-05,285
2018-10-06,265
2018-10-07,277
2018-10-08,364
2018-10-09,316
2018-10-10,354
2018-10-11,339
2018-10-12,306
2018-10-13,273
2018-10-14,269
2018-10-15,352
2018-10-16,352
2018-10-17,313
2018-10-18,329
2018-10-19,430
2018-10-20,251
2018-10-21,278
2018-10-22,382
2018-10-23,398
2018-10-24,351
2018-10-25,343
2018-10-26,292
2018-10-27,268
2018-10-28,288
2018-10-29,340
2018-10-30,304
2018-10-31,240
2018-11-01,312
2018-11-02,348
2018-11-03,347
2018-11-04,303
2018-11-05,387
2018-11-06,342
2018-11-07,329
2018-11-08,360
2018-11-09,292
2018-11-10,259
2018-11-11,282
2018-11-12,374
2018-11-13,334
2018-11-14,347
2018-11-15,334
2018-11-16,330
2018-11-17,286
2018-11-18,294
2018-11-19,373
2018-11-20,270
2018-11-21,322
2018-11-22,209
2018-11-23,165
2018-11-24,143
2018-11-25,143
2018-11-26,194
2018-11-27,182
2018-11-28,186
2018-11-29,171
2018-11-30,188
2018-12-01,128
2018-12-02,153
2018-12-03,178
2018-12-04,174
2018-12-05,182
2018-12-06,216
2018-12-07,172
2018-12-08,149
2018-12-09,198
