Date,"Mialgia"
2018-06-20,115
2018-06-21,124
2018-06-22,97
2018-06-23,93
2018-06-24,103
2018-06-25,122
2018-06-26,101
2018-06-27,87
2018-06-28,130
2018-06-29,101
2018-06-30,85
2018-07-01,95
2018-07-02,94
2018-07-03,73
2018-07-04,82
2018-07-05,86
2018-07-06,112
2018-07-07,85
2018-07-08,75
2018-07-09,119
2018-07-10,133
2018-07-11,120
2018-07-12,99
2018-07-13,85
2018-07-14,83
2018-07-15,91
2018-07-16,140
2018-07-17,131
2018-07-18,126
2018-07-19,105
2018-07-20,110
2018-07-21,78
2018-07-22,97
2018-07-23,147
2018-07-24,119
2018-07-25,189
2018-07-26,146
2018-07-27,100
2018-07-28,99
2018-07-29,77
2018-07-30,141
2018-07-31,113
2018-08-01,116
2018-08-02,95
2018-08-03,92
2018-08-04,131
2018-08-05,73
2018-08-06,101
2018-08-07,95
2018-08-08,118
2018-08-09,95
2018-08-10,72
2018-08-11,77
2018-08-12,84
2018-08-13,107
2018-08-14,95
2018-08-15,97
2018-08-16,77
2018-08-17,93
2018-08-18,65
2018-08-19,83
2018-08-20,112
2018-08-21,108
2018-08-22,115
2018-08-23,129
2018-08-24,101
2018-08-25,98
2018-08-26,102
2018-08-27,127
2018-08-28,134
2018-08-29,136
2018-08-30,135
2018-08-31,121
2018-09-01,124
2018-09-02,86
2018-09-03,120
2018-09-04,124
2018-09-05,137
2018-09-06,140
2018-09-07,137
2018-09-08,117
2018-09-09,106
2018-09-10,130
2018-09-11,166
2018-09-12,117
2018-09-13,124
2018-09-14,137
2018-09-15,129
2018-09-16,120
2018-09-17,122
2018-09-18,136
2018-09-19,136
2018-09-20,121
2018-09-21,122
2018-09-22,106
2018-09-23,135
2018-09-24,139
2018-09-25,126
2018-09-26,132
2018-09-27,107
2018-09-28,105
2018-09-29,76
2018-09-30,90
2018-10-01,120
2018-10-02,124
2018-10-03,102
2018-10-04,118
2018-10-05,121
2018-10-06,97
2018-10-07,140
2018-10-08,174
2018-10-09,133
2018-10-10,160
2018-10-11,144
2018-10-12,128
2018-10-13,130
2018-10-14,134
2018-10-15,149
2018-10-16,149
2018-10-17,130
2018-10-18,120
2018-10-19,135
2018-10-20,122
2018-10-21,103
2018-10-22,116
2018-10-23,124
2018-10-24,142
2018-10-25,157
2018-10-26,138
2018-10-27,111
2018-10-28,155
2018-10-29,108
2018-10-30,118
2018-10-31,127
2018-11-01,116
2018-11-02,149
2018-11-03,143
2018-11-04,139
2018-11-05,189
2018-11-06,147
2018-11-07,170
2018-11-08,167
2018-11-09,140
2018-11-10,142
2018-11-11,116
2018-11-12,166
2018-11-13,166
2018-11-14,173
2018-11-15,178
2018-11-16,147
2018-11-17,132
2018-11-18,138
2018-11-19,159
2018-11-20,164
2018-11-21,161
2018-11-22,131
2018-11-23,110
2018-11-24,88
2018-11-25,108
2018-11-26,186
2018-11-27,132
2018-11-28,87
2018-11-29,126
2018-11-30,110
2018-12-01,94
2018-12-02,96
2018-12-03,120
2018-12-04,106
2018-12-05,129
2018-12-06,114
2018-12-07,97
2018-12-08,94
2018-12-09,93
