Date,"Sarcoidosi"
2018-01-31,406
2018-02-01,454
2018-02-02,452
2018-02-03,330
2018-02-04,329
2018-02-05,457
2018-02-06,450
2018-02-07,459
2018-02-08,1519
2018-02-09,504
2018-02-10,371
2018-02-11,289
2018-02-12,453
2018-02-13,449
2018-02-14,405
2018-02-15,462
2018-02-16,461
2018-02-17,323
2018-02-18,298
2018-02-19,404
2018-02-20,454
2018-02-21,447
2018-02-22,455
2018-02-23,343
2018-02-24,248
2018-02-25,290
2018-02-26,334
2018-02-27,345
2018-02-28,309
2018-03-01,252
2018-03-02,258
2018-03-03,227
2018-03-04,227
2018-03-05,430
2018-03-06,385
2018-03-07,470
2018-03-08,371
2018-03-09,302
2018-03-10,281
2018-03-11,455
2018-03-12,432
2018-03-13,373
2018-03-14,570
2018-03-15,522
2018-03-16,409
2018-03-17,302
2018-03-18,329
2018-03-19,336
2018-03-20,492
2018-03-21,412
2018-03-22,417
2018-03-23,382
2018-03-24,276
2018-03-25,302
2018-03-26,387
2018-03-27,441
2018-03-28,406
2018-03-29,400
2018-03-30,359
2018-03-31,306
2018-04-01,259
2018-04-02,203
2018-04-03,376
2018-04-04,459
2018-04-05,448
2018-04-06,498
2018-04-07,289
2018-04-08,272
2018-04-09,422
2018-04-10,467
2018-04-11,434
2018-04-12,478
2018-04-13,459
2018-04-14,376
2018-04-15,305
2018-04-16,471
2018-04-17,518
2018-04-18,460
2018-04-19,401
2018-04-20,446
2018-04-21,303
2018-04-22,244
2018-04-23,396
2018-04-24,376
2018-04-25,282
2018-04-26,487
2018-04-27,443
2018-04-28,307
2018-04-29,216
2018-04-30,254
2018-05-01,246
2018-05-02,327
2018-05-03,399
2018-05-04,438
2018-05-05,378
2018-05-06,340
2018-05-07,442
2018-05-08,545
2018-05-09,484
2018-05-10,471
2018-05-11,469
2018-05-12,361
2018-05-13,306
2018-05-14,444
2018-05-15,496
2018-05-16,426
2018-05-17,353
2018-05-18,328
2018-05-19,209
2018-05-20,180
2018-05-21,342
2018-05-22,410
2018-05-23,376
2018-05-24,506
2018-05-25,434
2018-05-26,349
2018-05-27,347
2018-05-28,521
2018-05-29,641
2018-05-30,471
2018-05-31,378
2018-06-01,353
2018-06-02,252
2018-06-03,287
2018-06-04,385
2018-06-05,415
2018-06-06,433
2018-06-07,414
2018-06-08,375
2018-06-09,330
2018-06-10,383
2018-06-11,550
2018-06-12,640
2018-06-13,638
2018-06-14,495
2018-06-15,461
2018-06-16,356
2018-06-17,366
2018-06-18,499
2018-06-19,541
2018-06-20,506
2018-06-21,499
2018-06-22,333
2018-06-23,239
2018-06-24,224
2018-06-25,311
2018-06-26,376
2018-06-27,367
2018-06-28,378
2018-06-29,346
2018-06-30,278
2018-07-01,288
2018-07-02,418
2018-07-03,375
2018-07-04,296
2018-07-05,340
2018-07-06,454
2018-07-07,268
2018-07-08,283
2018-07-09,366
2018-07-10,421
2018-07-11,408
2018-07-12,377
2018-07-13,330
2018-07-14,280
2018-07-15,226
2018-07-16,434
2018-07-17,414
2018-07-18,344
2018-07-19,335
2018-07-20,641
2018-07-21,327
2018-07-22,250
2018-07-23,308
2018-07-24,399
2018-07-25,493
2018-07-26,389
2018-07-27,325
