Date,"Croup"
2017-11-22,93
2017-11-23,98
2017-11-24,120
2017-11-25,74
2017-11-26,89
2017-11-27,75
2017-11-28,63
2017-11-29,51
2017-11-30,68
2017-12-01,52
2017-12-02,53
2017-12-03,45
2017-12-04,50
2017-12-05,43
2017-12-06,63
2017-12-07,39
2017-12-08,49
2017-12-09,58
2017-12-10,63
2017-12-11,66
2017-12-12,71
2017-12-13,59
2017-12-14,65
2017-12-15,82
2017-12-16,58
2017-12-17,81
2017-12-18,73
2017-12-19,62
2017-12-20,66
2017-12-21,60
2017-12-22,52
2017-12-23,54
2017-12-24,50
2017-12-25,57
2017-12-26,71
2017-12-27,75
2017-12-28,55
2017-12-29,49
2017-12-30,54
2017-12-31,42
2018-01-01,61
2018-01-02,84
2018-01-03,85
2018-01-04,74
2018-01-05,51
2018-01-06,88
2018-01-07,78
2018-01-08,81
2018-01-09,77
2018-01-10,57
2018-01-11,74
2018-01-12,68
2018-01-13,60
2018-01-14,82
2018-01-15,94
2018-01-16,80
2018-01-17,82
2018-01-18,73
2018-01-19,70
2018-01-20,66
2018-01-21,70
2018-01-22,69
2018-01-23,71
2018-01-24,81
2018-01-25,91
2018-01-26,102
2018-01-27,43
2018-01-28,88
2018-01-29,71
2018-01-30,69
2018-01-31,58
2018-02-01,73
2018-02-02,68
2018-02-03,70
2018-02-04,68
2018-02-05,72
2018-02-06,98
2018-02-07,59
2018-02-08,93
2018-02-09,62
2018-02-10,49
2018-02-11,76
2018-02-12,72
2018-02-13,80
2018-02-14,85
2018-02-15,59
2018-02-16,78
2018-02-17,47
2018-02-18,62
2018-02-19,53
2018-02-20,62
2018-02-21,65
2018-02-22,54
2018-02-23,56
2018-02-24,54
2018-02-25,53
2018-02-26,70
2018-02-27,73
2018-02-28,67
2018-03-01,68
2018-03-02,60
2018-03-03,53
2018-03-04,57
2018-03-05,57
2018-03-06,55
2018-03-07,74
2018-03-08,29
2018-03-09,43
2018-03-10,56
2018-03-11,65
2018-03-12,65
2018-03-13,50
2018-03-14,51
2018-03-15,53
2018-03-16,87
2018-03-17,59
2018-03-18,44
2018-03-19,64
2018-03-20,57
2018-03-21,68
2018-03-22,61
2018-03-23,45
2018-03-24,57
2018-03-25,64
2018-03-26,75
2018-03-27,55
2018-03-28,56
2018-03-29,44
2018-03-30,51
2018-03-31,41
2018-04-01,53
2018-04-02,49
2018-04-03,47
2018-04-04,48
2018-04-05,72
2018-04-06,37
2018-04-07,39
2018-04-08,47
2018-04-09,46
2018-04-10,37
2018-04-11,80
2018-04-12,42
2018-04-13,41
2018-04-14,36
2018-04-15,62
2018-04-16,54
2018-04-17,70
2018-04-18,62
2018-04-19,46
2018-04-20,65
2018-04-21,34
2018-04-22,52
2018-04-23,55
2018-04-24,42
2018-04-25,33
2018-04-26,66
2018-04-27,47
2018-04-28,46
2018-04-29,112
2018-04-30,101
2018-05-01,181
2018-05-02,166
2018-05-03,165
2018-05-04,66
2018-05-05,58
2018-05-06,54
2018-05-07,52
2018-05-08,60
2018-05-09,62
2018-05-10,44
2018-05-11,53
2018-05-12,79
2018-05-13,45
2018-05-14,67
2018-05-15,60
2018-05-16,63
2018-05-17,64
2018-05-18,55
2018-05-19,51
2018-05-20,69
2018-05-21,59
2018-05-22,69
2018-05-23,71
2018-05-24,57
2018-05-25,65
2018-05-26,46
2018-05-27,59
2018-05-28,81
2018-05-29,87
2018-05-30,57
2018-05-31,66
2018-06-01,53
2018-06-02,72
2018-06-03,66
2018-06-04,78
2018-06-05,67
2018-06-06,83
2018-06-07,58
2018-06-08,54
2018-06-09,57
2018-06-10,64
2018-06-11,100
2018-06-12,74
2018-06-13,78
2018-06-14,85
2018-06-15,60
2018-06-16,53
2018-06-17,65
2018-06-18,81
2018-06-19,62
2018-06-20,50
2018-06-21,53
2018-06-22,69
2018-06-23,59
2018-06-24,51
2018-06-25,49
2018-06-26,70
2018-06-27,63
2018-06-28,56
2018-06-29,58
2018-06-30,46
2018-07-01,64
2018-07-02,57
2018-07-03,65
2018-07-04,49
2018-07-05,55
2018-07-06,59
2018-07-07,48
2018-07-08,63
2018-07-09,91
2018-07-10,86
2018-07-11,76
2018-07-12,88
2018-07-13,70
2018-07-14,60
2018-07-15,77
2018-07-16,98
2018-07-17,60
2018-07-18,50
2018-07-19,46
2018-07-20,48
2018-07-21,29
2018-07-22,44
2018-07-23,30
2018-07-24,43
2018-07-25,31
2018-07-26,51
2018-07-27,43
2018-07-28,24
2018-07-29,37
2018-07-30,35
2018-07-31,47
2018-08-01,35
2018-08-02,56
2018-08-03,38
2018-08-04,51
2018-08-05,46
2018-08-06,49
2018-08-07,38
2018-08-08,36
2018-08-09,37
2018-08-10,38
2018-08-11,50
2018-08-12,45
2018-08-13,50
2018-08-14,62
2018-08-15,39
2018-08-16,35
2018-08-17,46
2018-08-18,35
2018-08-19,41
2018-08-20,66
2018-08-21,56
2018-08-22,43
2018-08-23,35
2018-08-24,41
2018-08-25,53
2018-08-26,43
2018-08-27,57
2018-08-28,36
2018-08-29,60
2018-08-30,76
2018-08-31,49
2018-09-01,56
2018-09-02,41
2018-09-03,51
2018-09-04,58
2018-09-05,56
2018-09-06,62
2018-09-07,55
2018-09-08,72
2018-09-09,58
2018-09-10,53
2018-09-11,50
2018-09-12,51
2018-09-13,59
2018-09-14,82
2018-09-15,56
2018-09-16,54
2018-09-17,80
2018-09-18,63
2018-09-19,83
2018-09-20,62
2018-09-21,60
2018-09-22,60
2018-09-23,68
2018-09-24,70
2018-09-25,49
2018-09-26,50
2018-09-27,42
2018-09-28,92
2018-09-29,61
2018-09-30,42
2018-10-01,71
2018-10-02,61
2018-10-03,39
2018-10-04,63
2018-10-05,56
2018-10-06,84
2018-10-07,75
2018-10-08,86
2018-10-09,81
2018-10-10,75
2018-10-11,74
2018-10-12,66
2018-10-13,49
2018-10-14,60
2018-10-15,70
2018-10-16,65
2018-10-17,83
2018-10-18,79
2018-10-19,54
2018-10-20,44
2018-10-21,58
2018-10-22,69
2018-10-23,66
2018-10-24,61
2018-10-25,43
2018-10-26,75
2018-10-27,53
2018-10-28,51
2018-10-29,69
2018-10-30,73
2018-10-31,59
2018-11-01,64
2018-11-02,64
2018-11-03,102
2018-11-04,102
2018-11-05,99
2018-11-06,80
2018-11-07,92
2018-11-08,77
2018-11-09,79
2018-11-10,84
2018-11-11,97
2018-11-12,85
2018-11-13,74
2018-11-14,84
2018-11-15,75
2018-11-16,76
2018-11-17,60
2018-11-18,80
2018-11-19,75
2018-11-20,108
2018-11-21,89
2018-11-22,155
2018-11-23,77
2018-11-24,61
2018-11-25,78
2018-11-26,82
2018-11-27,70
2018-11-28,78
2018-11-29,73
2018-11-30,71
2018-12-01,47
2018-12-02,72
2018-12-03,71
2018-12-04,77
2018-12-05,87
2018-12-06,85
2018-12-07,55
2018-12-08,77
2018-12-09,82
