Date,"Vaccino antinfluenzale"
2018-10-15,58
2018-10-16,54
2018-10-17,48
2018-10-18,72
2018-10-19,62
2018-10-20,48
2018-10-21,44
2018-10-22,73
2018-10-23,64
2018-10-24,54
2018-10-25,66
2018-10-26,58
2018-10-27,56
2018-10-28,70
2018-10-29,63
2018-10-30,66
2018-10-31,82
2018-11-01,59
2018-11-02,81
2018-11-03,64
2018-11-04,73
2018-11-05,130
2018-11-06,125
2018-11-07,158
2018-11-08,143
2018-11-09,130
2018-11-10,101
2018-11-11,93
2018-11-12,139
2018-11-13,171
2018-11-14,190
2018-11-15,226
2018-11-16,159
2018-11-17,102
2018-11-18,76
2018-11-19,140
2018-11-20,145
2018-11-21,107
2018-11-22,126
2018-11-23,98
2018-11-24,48
2018-11-25,68
2018-11-26,78
2018-11-27,90
2018-11-28,67
2018-11-29,78
2018-11-30,59
2018-12-01,67
2018-12-02,63
2018-12-03,82
2018-12-04,78
2018-12-05,72
2018-12-06,47
2018-12-07,46
2018-12-08,50
2018-12-09,55
